Player,Mat,Inns,NO,Runs,High_Score,Avg,Balls_Faced,SR,Century,Half_century,0,4s,6s,Country,FirstYear,FinalYear
CA Davis ,15,29,5,1301,183,54.2,665,35.48,4,4,1,65,1,WI,1968,1973
VG Kambli ,17,21,1,1084,227,54.2,1823,59.46,4,3,3,124,6,IND,1993,1995
GS Chappell ,87,151,19,7110,247,53.86,13079,51.53,24,31,12,755,16,AUS,1970,1984
AD Nourse ,34,62,7,2960,231,53.81,108,63.88,9,14,3,115,6,SA,1935,1951
SR Tendulkar ,200,329,33,15921,248,53.78,29437,54.04,51,68,14,2058,69,IND,1989,2013
DJ Mitchell ,20,31,4,1452,190,53.77,2644,54.91,5,9,1,144,27,NZ,2019,2023
BC Lara ,131,232,6,11953,400,52.88,19753,60.51,34,48,17,1559,88,WI,1990,2006
M Labuschagne ,46,82,6,3996,215,52.57,7572,52.77,11,19,4,449,12,AUS,2018,2024
Javed Miandad ,124,189,21,8832,280,52.57,15164,45.99,23,43,6,788,48,PAK,1976,1993
R Dravid ,164,286,32,13288,270,52.31,31258,42.51,36,63,8,1654,21,IND,1996,2012
Mohammad Yousuf ,90,156,12,7530,223,52.29,14372,52.39,24,33,11,957,51,PAK,1998,2010
Younis Khan ,118,213,19,10099,313,52.05,19375,52.12,34,33,19,1082,70,PAK,2000,2017
RT Ponting ,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73,AUS,1995,2012
J Ryder ,20,32,5,1394,201,51.62,2035,44.86,3,9,1,102,3,AUS,1920,1929
A Flower ,63,112,19,4794,232,51.54,10636,45.07,12,27,5,543,20,ZIM,1992,2002
MEK Hussey ,79,137,16,6235,195,51.52,12436,50.13,19,29,12,685,39,AUS,2005,2013
S Chanderpaul ,164,280,49,11867,203,51.37,27395,43.31,30,66,15,1285,36,WI,1994,2015
SM Gavaskar ,125,214,16,10122,236,51.12,14184,43.35,34,45,12,908,26,IND,1971,1987
SR Waugh ,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20,AUS,1985,2004
ML Hayden ,103,184,14,8625,380,50.73,14349,60.1,30,29,14,1049,82,AUS,1994,2009
AB de Villiers ,114,191,18,8765,278,50.66,16077,54.51,22,46,8,1024,64,SA,2004,2018
AR Border ,156,265,44,11174,205,50.56,27002,41.09,27,63,11,1161,28,AUS,1978,1994
JE Root ,135,247,20,11416,254,50.29,20113,56.75,30,60,12,1247,43,ENG,2012,2023
IVA Richards ,121,182,12,8540,291,50.23,9613,69.77,24,45,10,952,84,WI,1974,1991
DCS Compton ,78,131,15,5807,278,50.06,2731,38.81,17,28,10,342,3,ENG,1937,1957
DPMD Jayawardene ,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61,SL,1997,2014
Inzamam-ul-Haq ,120,200,22,8830,329,49.6,16345,54.02,25,46,15,1105,48,PAK,1992,2007
FMM Worrell ,51,87,9,3860,261,49.48,488,40.16,9,22,11,240,11,WI,1948,1963
CP Mead ,17,26,2,1185,182,49.37,619,30.04,4,3,3,38,0,ENG,1911,1928
V Sehwag ,104,180,6,8586,319,49.34,10441,82.23,23,32,16,1233,91,IND,2001,2013
Abid Ali ,16,26,2,1180,215,49.16,2445,48.26,4,3,2,148,5,PAK,2019,2021
V Kohli ,113,191,11,8848,254,49.15,15924,55.56,29,30,14,991,26,IND,2011,2024
MJ Clarke ,115,198,22,8643,329,49.1,15456,55.92,28,27,9,978,39,AUS,2004,2015
KC Bland ,21,39,5,1669,144,49.08,885,37.74,3,9,2,123,20,SA,1961,1966
B Mitchell ,42,80,9,3471,189,48.88,158,29.11,8,21,3,41,1,SA,1929,1949
Hon.FS Jackson ,20,33,4,1415,144,48.79,0,0.0,5,6,3,51,0,ENG,1893,1905
TT Samaraweera ,81,132,20,5462,231,48.76,11641,46.92,14,30,11,633,7,SL,2001,2013
RN Harvey ,79,137,10,6149,205,48.41,1799,43.74,21,24,7,427,1,AUS,1948,1963
KD Walters ,74,125,14,5357,250,48.26,8662,49.16,15,33,4,525,23,AUS,1965,1981
GC Smith ,117,205,13,9265,277,48.25,15525,59.67,27,38,11,1165,24,SA,2002,2014
WH Ponsford ,29,48,4,2122,266,48.22,3118,44.77,7,6,1,119,0,AUS,1924,1934
SJ McCabe ,39,62,5,2748,232,48.21,3217,60.02,6,13,4,241,5,AUS,1930,1938
DR Jardine ,22,33,6,1296,127,48.0,2110,25.59,1,10,2,53,0,ENG,1928,1934
